profile_id,model_id,provider,screen,run_label,arm,n_questions,observed_local_correct_unchanged,measured_local_mean_s,measured_local_p50_s,measured_local_p95_s,profile_ttft_proxy_s,profile_reported_tps,metric_semantics,scenario_A_mean_s,scenario_A_p50_s,scenario_A_p95_s,scenario_B_mean_s,scenario_B_p50_s,scenario_B_p95_s,source_id,source_url,source_period,source_snapshot_sha256,projection_sha256,workload_sha256
openrouter14b-alibaba,Qwen/Qwen3-14B,Alibaba,native,native/14b,basic_rag,12,0.0,0.8520593403227394,0.8494478960055858,0.9712688838335453,0.38,57,ambiguous_reported_throughput,0.40071014890322676,0.3959739789669402,0.4228298435359274,0.3963241839909461,0.3959739789669402,0.39914563300961164,openrouter14b,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,one-week averages of the displayed P50 series; nearby availability chart ends September10; timezone unspecified,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter14b-alibaba,Qwen/Qwen3-14B,Alibaba,native,native/14b,iterative_text,12,0.0,5.172699920168573,4.903502687491709,7.914464416567352,0.38,57,ambiguous_reported_throughput,1.679050157824235,1.627893142889605,2.37211525665159,1.2380267660113697,1.171844312004978,1.5732017388930484,openrouter14b,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,one-week averages of the displayed P50 series; nearby availability chart ends September10; timezone unspecified,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter14b-alibaba,Qwen/Qwen3-14B,Alibaba,prior_bounded_thinking,prior/14b_short,iterative_text,12,1.0,5.192386090255847,4.959144604014,7.6363472413097035,0.38,57,ambiguous_reported_throughput,1.7663198368011617,1.7155460503068958,2.3669270626116203,1.2502379654561324,1.1547238959907555,1.5398980072513222,openrouter14b,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,one-week averages of the displayed P50 series; nearby availability chart ends September10; timezone unspecified,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter14b-alibaba,Qwen/Qwen3-14B,Alibaba,prior_bounded_thinking,prior/14b_thinking,iterative_text,12,1.0,43.31694140625283,38.43392074998701,77.48134190419223,0.38,57,ambiguous_reported_throughput,11.790643832015741,10.533830273487798,20.593087484482666,10.956111668273051,9.764512697599253,19.143262923079156,openrouter14b,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,one-week averages of the displayed P50 series; nearby availability chart ends September10; timezone unspecified,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter14b-deepinfra,Qwen/Qwen3-14B,DeepInfra,native,native/14b,basic_rag,12,0.0,0.8520593403227394,0.8494478960055858,0.9712688838335453,0.83,43,ambiguous_reported_throughput,0.8521381374793181,0.8459739789669402,0.8805409818468208,0.846324183990946,0.8459739789669402,0.8491456330096115,openrouter14b,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,one-week averages of the displayed P50 series; nearby availability chart ends September10; timezone unspecified,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter14b-deepinfra,Qwen/Qwen3-14B,DeepInfra,native,native/14b,iterative_text,12,0.0,5.172699920168573,4.903502687491709,7.914464416567352,0.83,43,ambiguous_reported_throughput,3.248277004009465,3.1264039548031097,4.4357219477980605,2.661067701683884,2.5218443120049776,3.3683768833539216,openrouter14b,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,one-week averages of the displayed P50 series; nearby availability chart ends September10; timezone unspecified,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter14b-deepinfra,Qwen/Qwen3-14B,DeepInfra,prior_bounded_thinking,prior/14b_short,iterative_text,12,1.0,5.192386090255847,4.959144604014,7.6363472413097035,0.83,43,ambiguous_reported_throughput,3.3968464925879154,3.2483285880465935,4.436531305777675,2.712737965456132,2.504723895990755,3.339898007251322,openrouter14b,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,one-week averages of the displayed P50 series; nearby availability chart ends September10; timezone unspecified,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter14b-deepinfra,Qwen/Qwen3-14B,DeepInfra,prior_bounded_thinking,prior/14b_thinking,iterative_text,12,1.0,43.31694140625283,38.43392074998701,77.48134190419223,0.83,43,ambiguous_reported_throughput,16.685076376555383,14.936869849171192,28.921463657473282,14.844708159501122,13.264696296130465,25.694486913287236,openrouter14b,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,one-week averages of the displayed P50 series; nearby availability chart ends September10; timezone unspecified,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter14b-nextbit,Qwen/Qwen3-14B,NextBit,native,native/14b,basic_rag,12,0.0,0.8520593403227394,0.8494478960055858,0.9712688838335453,0.75,50,ambiguous_reported_throughput,0.771324183990946,0.7659739789669402,0.7961456330096116,0.766324183990946,0.7659739789669402,0.7691456330096116,openrouter14b,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,one-week averages of the displayed P50 series; nearby availability chart ends September10; timezone unspecified,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter14b-nextbit,Qwen/Qwen3-14B,NextBit,native,native/14b,iterative_text,12,0.0,5.172699920168573,4.903502687491709,7.914464416567352,0.75,50,ambiguous_reported_throughput,2.912734368350551,2.801752792012412,3.965466133844573,2.407734368350551,2.281844312004978,3.0483768833539218,openrouter14b,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,one-week averages of the displayed P50 series; nearby availability chart ends September10; timezone unspecified,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter14b-nextbit,Qwen/Qwen3-14B,NextBit,prior_bounded_thinking,prior/14b_short,iterative_text,12,1.0,5.192386090255847,4.959144604014,7.6363472413097035,0.75,50,ambiguous_reported_throughput,3.041071298789466,2.904142541534966,3.9628568871730234,2.4527379654561323,2.2647238959907554,3.019898007251322,openrouter14b,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,one-week averages of the displayed P50 series; nearby availability chart ends September10; timezone unspecified,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter14b-nextbit,Qwen/Qwen3-14B,NextBit,prior_bounded_thinking,prior/14b_thinking,iterative_text,12,1.0,43.31694140625283,38.43392074998701,77.48134190419223,0.75,50,ambiguous_reported_throughput,14.468874826167786,12.956637291031656,25.056789238868628,12.80470815950112,11.446091644967673,22.13678923886863,openrouter14b,https://openrouter.ai/qwen/qwen3-14b-04-28/uptime,one-week averages of the displayed P50 series; nearby availability chart ends September10; timezone unspecified,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter8b-alibaba,Qwen/Qwen3-8B,Alibaba (inferred; cached model-level series),prior_bounded_thinking,prior/8b_short,iterative_text,12,0.0,2.4851963679199494,2.0753615830035415,4.921561483311233,0.73,43,ambiguous_reported_throughput,2.724603724297386,2.6215993176593155,4.33075118202638,2.083557212669479,2.202889687990537,2.8835651355147522,openrouter8b,https://openrouter.ai/qwen/qwen3-8b/pricing,one-week averages of the displayed P50 series; nearby availability chart ends September10 11AM; timezone unspecified,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
openrouter8b-alibaba,Qwen/Qwen3-8B,Alibaba (inferred; cached model-level series),prior_bounded_thinking,prior/8b_thinking,iterative_text,12,0.0,24.416340399329783,21.24904741649516,41.71998424392077,0.73,43,ambiguous_reported_throughput,17.137235812460478,14.924169712065458,28.647356000787926,15.464910231065131,13.510681339972436,25.82037925660188,openrouter8b,https://openrouter.ai/qwen/qwen3-8b/pricing,one-week averages of the displayed P50 series; nearby availability chart ends September10 11AM; timezone unspecified,d9350740a106a1ef85f9ea343ced3a424e229b31f5333b4a8582e1f78017b545,ff43fda6c9b8661931a8c4cb6fde359f208293a0c861b567a8bb1558e0eaa9ad,830d85d3b9952587f4f23c2fe5868530ec6a9caea54edaa26da98cdc267442c5
